CÓDIGO;DESCRIPCIÓN;PRECIO; DOLZ
E202789;BOMBA EUGA - CHEVROLET - AVEO 1.6  16V - POLEA 19 DIENTES;23.478;D211
E202678/2;BOMBA EUGA - CHEVROLET - CLASSIC 1.4 8V - ONIX /PRISMA - MOTOR VHC - POLEA 19 DIENTES;18.360;O256
E202678;BOMBA EUGA - CHEVROLET - CORSA 1.0-1.2-1.6 8V  - POLEA 19 DIENTES;17.199;O106
E202696/S;BOMBA EUGA - MAXION - MOTOR HS 2.5-2.8 TURBO - S10 BLAZER - FORD RANGER MERCEDES BENZ SPRINTER 310 D - REFORZADA;26.528;F140
E202677;BOMBA EUGA - CHEVROLET - MERIVA 1.8 8V.FIAT PALIO / SIENA 1.8 8V ( MOTOR GM );22.864;O262
E202814;BOMBA EUGA - CHEVROLET - CRUZE 1.8 SONIC 1.6 16V;31.475;O263
E202810;ASTRA 2,0 8V POLEA 25 DIENTES;23.628;O137
E202811;BOMBA EUGA - CHEVROLET - VECTRA 2.0I 16V/ASTRA  2.0 16V-2.4 16V/- POLEA DE 25 DIENTES / ANCHO DE POLEA 26 MM.;23.628;O138
E202649;BOMBA EUGA - FORD - ECOSPORT 1.4DCI  - CITROEN C3 1.4 HDI (DV4TD) - POLEA DE 21 DIENTES  FONDO RECTO;29.527;C122
E202649/1;BOMBA EUGA - CITROEN C3 / C4 / C5 1.6 HDI 16V;27.462;C129
E202684;BOMBA EUGA - PEUGEOT -  BERLINGO 1.9 - PARTNER 1.8D - MOTOR DW8/DW10 - POLEA DE 20 DIENTES FONDO RECTO - TURB.DE 70.5 MM.;21.126;C120
E202946;PEUGEOT 106 1.0/1.4  / 1.5;19.462;C155
E202171;BOMBA EUGA - PEUGEOT - MOTOR 1.6 16V TU5JP4 - POLEA DE 19 DIENTES;21.412;C113
E202710;BOMBA EUGA - PEUGEOT - XU7JB  - NAFTA 405/306/205 - POLEA DE 20 DIENTES - TURBINA DE 60 MM.;21.450;N405
E202938;BOMBA EUGA - CITROEN - C3 XARA 1.4LT ENGRANAJE 18 DIENTES / FIAT QUBO ACTIVE 1.4 BZ.;18.685;C114
E202661;BOMBA EUGA - FIAT - FIAT 128  1.1 - 1.3 LTS. BERLINA - FAMILIAR FIAT REGATTA 85 S / DUNA S / 147 MOTOR 1.3 - 1.5 L FIAT UNO IE 1.3 TURBO - FIAT REGATTA R86 - FIAT 128 EUROPA Y SUPER EUROPA  POLEA DE 115,5 MM.;23.439;S135
E202677;BOMBA EUGA - CHEVROLET - MERIVA 1.8 8V.FIAT PALIO / SIENA 1.8 8V ( MOTOR GM );22.556;O262
E202104;BOMBA EUGA - FIAT - PALIO 1.3 MPI - POLEA POLY V DE 6 CANALES DIAM. 119.5 MM.;26.627;S228
E202111;BOMBA EUGA - FIAT - PUNTO PALIO DOBLO  1,4 16V ( FIRE EVO );21.554;S320
E202661/3;BOMBA EUGA - FIAT - TIPO 1.4 1.6 - POLEA 125MM;24.585;S149
E202672 S;BOMBA EUGA - FIAT - UNO 1.6 CON AA - TIPO 1.6 AÑO 90>;18.338;S138
E202112;BOMBA EUGA - FIAT -PALIO / SIENA  1.4 8V ( MOTOR FIRE ) - PALIO / SIENA  1.3 16V ( MOTOR FIRE) - POLEA DE 23 DIENTES / ANCHO DE POLEA 28 MM. -;18.484;S319
E202649;BOMBA EUGA - FORD - ECOSPORT 1.4DCI  - CITROEN C3 1.4 HDI (DV4TD) - POLEA DE 21 DIENTES  FONDO RECTO;29.527;C122
E202173;FORD ECOSPORT 2.0;31.115;F150
E202753 S;BOMBA EUGA - FORD - KA 1.0-1.6 8V - FIESTA 1.6 MOTOR ROCAM TODOS;21.344;F203
E202947;BOMBA EUGA - FORD - MOTOR SIGMA 1.6 16V - FIESTA FOCUS MONDEO ECOSPORT;31.857;F233
E202696/S;BOMBA EUGA - MAXION - MOTOR HS 2.5-2.8 TURBO - S10 BLAZER - FORD RANGER MERCEDES BENZ SPRINTER 310 D - REFORZADA;25.200;F140
E202698;BOMBA EUGA MERCEDES BENZ - 1114 - 911 - 1111 2º SERIE- 1113 - 1313 - 1513 - 1517 - 1518 - 2013 - 2213 - MOTOR OM 352 / 352A INYECCION DIRECTA;81.296;M611
E202696/S;BOMBA EUGA - MAXION - MOTOR HS 2.5-2.8 TURBO - S10 BLAZER - FORD RANGER MERCEDES BENZ SPRINTER 310 D - REFORZADA;25.200;F140
E202857;BOMBA EUGA - RENAULT -  MOTOR G9U - LAGUNA I 2.2 DCI  - RENAULT MASTER 2.0 DCI - RENAULT MASTER 2.5 DCI;36.173;R212
E202739;BOMBA EUGA - RENAULT - CLIO 1.2 16V MOTOR D4F - NISSAN KUBISTAR;39.972;R228
E202735;BOMBA EUGA - RENAULT - CLIO II MEGANE II - 1.5 DCI MOTOR K9KPOLEA DIAM.  52 MM. TURBINA DE 70 MM.;29.338;R217
E202733/B;BOMBA EUGA - RENAULT - MEGANE CLIO 1.6 8V - MOTOR K7M POLEA DE 20 DIENTES;24.303;R135
E202737;BOMBA EUGA - RENAULT - MEGANE I - SCENIC I 1.9 DCI;28.595;R219
E202722/S;BOMBA EUGA - RENAULT - R.19 1,7-1,8-1,9 -CLIO 1,9D -2,2 WILLIAMS/EXPRESS 1,9 DIESEL-CHAMADE- LAGUNA 1,8-2,0 NAFTA/ MEGANE 1,9D SPECIAL REFORZADA;22.424;R179RS
E202740;BOMBA EUGA - RENAULT - MOTOR K4M/K7M 1.6 16 V OROCH SANDERO LOGAN MEGANE II/ SYMBOL/KANGOO 1.6 8V- POLEA DE 20 DIENTES;24.522;R236
E202486/1;BOMBA EUGA - TOYOTA - HILUX MOTOR 2.5/ - 3.0  HASTA 2005 - .MOTORES  1KD-4-D - 2KD-4-D;56.308;T601
E202548;BOMBA EUGA - VOLKSWAGEN - AMAROK 2.0 16 TDI POLEA DE 19 DIENTES;32.723;A224
E202501;BOMBA EUGA - VOLKSWAGEN - GOLF - BORA -PASSAT -SHARAM  / SYNCRO MOTORES 1,9 TDI POLEA 19 DIENTES;34.250;A187
E202503;BOMBA EUGA - VOLKSWAGEN - BORA-GOLF IV - NEW BEETLE TOURAN- TRANSPORTER -SHARAM- 1.8T, 2.0  NAFTA, POLEA 23 DIENTES;25.449;A186
E202760;BOMBA EUGA - VOLKSWAGEN - FOX - CROSSFOX - SHARAM - SURAN - VOYAGE - TREND 1.6I LTS - MOTOR EA111 - POLEA DE 27 DIENTES - ALTURA DE BASE DEL CUERPO A FIN DE POLEA 50MM;21.186;A179
E202762/1S;BOMBA EUGA - VOLKSWAGEN - GACEL GOL 1.8 POLO 1.6/1.8/1.9 REF MAZA CHICA CON AA;19.097;A151RS
E202769;FOX/CROSSFOX/SURAN 1.6 16V/MSI;49.779;A234
E202762;BOMBA EUGA - VOLKSWAGEN - GACEL POLO MOTOR 1.6D MAZA GRANDE;21.732;A150
E202760/3;BOMBA EUGA - VOLKSWAGEN - GOL 1.0 MI 16V -  POLO 1.6 8V TOTAL FLEX - MOTOR POWER;24.022;A200
